what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.monitor.ui",1265138335942
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui",1265138335942
started,bundle,org.eclipse.mylyn.team.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.team.ui",1265138335942
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1265138335942
started,bundle,org.tigris.subversion.clientadapter,1.6.6,"org.tigris.subversion.clientadapter",1265138335942
started,bundle,org.tigris.subversion.subclipse.core,1.6.6,"org.tigris.subversion.subclipse.core",1265138335942
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1265138335942
os,sysinfo,,,"macosx",1265138335945
arch,sysinfo,,,"x86",1265138335945
ws,sysinfo,,,"cocoa",1265138335945
locale,sysinfo,,,"en_US",1265138335945
processors,sysinfo,,,"2",1265138335945
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1265138335945
java.runtime.version,sysinfo,,,"1.5.0_20-b02-315",1265138335945
java.specification.name,sysinfo,,,"Java Platform API Specification",1265138335945
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265138335945
java.specification.version,sysinfo,,,"1.5",1265138335945
java.vendor,sysinfo,,,"Apple Inc.",1265138335945
java.version,sysinfo,,,"1.5.0_20",1265138335945
java.vm.info,sysinfo,,,"mixed mode",1265138335945
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1265138335945
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1265138335945
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1265138335945
java.vm.specification.version,sysinfo,,,"1.0",1265138335945
java.vm.vendor,sysinfo,,,"Apple Inc.",1265138335945
